
"ID_REF"	"GSM878095"	"GSM878096"	"GSM878097"	"GSM878098"	"GSM878099"	"GSM878104"	"GSM878105"	"GSM878106"	"GSM878107"	"GSM878108"
"1007_s_at"	2014.9	2382.9	2570.3	2371.5	2644.1	2439.9	2765.5	2523.1	1754.5	2096.9
"1053_at"	1539.2	1029	1050.3	791.2	1305.6	843.1	970.3	893.4	784.4	898.1
"117_at"	68.6	192.3	138.8	187.2	123.3	160.2	738.5	108.2	115.3	49
"121_at"	1173.7	1731.2	1441.3	1319	1838.8	1162.1	1233.8	1278.7	1800.7	1152.5
"1255_g_at"	76.3	61.9	11.3	49.7	28	106.4	280.3	155.5	142.9	31.4
"1294_at"	895.5	669.2	962.3	1210	1219.2	1712.1	1611.1	1455.1	1414.8	1314.9
"1316_at"	150.2	192.9	165.6	210.8	110.2	310.9	457.1	195.4	418.3	29
"1320_at"	307.5	764	416.7	312	395.8	388.7	493.4	875	523.4	560.4
"1405_i_at"	398.1	21.8	1222.7	1370.7	686.7	643.8	2373.8	1080.8	101.7	280.5
"1431_at"	248.3	199.7	218.3	213	100.8	213	130.9	136.9	254.9	154.6
"1438_at"	210.2	342	253.7	273	290	465.3	462.4	196	447	379.3
"1487_at"	1267.1	1410.9	999.6	1103.9	1269.1	1750.3	1816	1321.6	1938.5	1627
"1494_f_at"	197.7	363.8	270	170.1	179.7	384	642.7	164.6	308.9	411
"1552256_a_at"	664.7	786	370.9	390.5	596.9	1624.6	1982.7	1052.7	1309.2	1027.8
"1552257_a_at"	1441.9	2237	792.8	1204.9	1369.4	2524.9	2104	1315.6	1094.2	1947.2
"1552258_at"	235.3	509.9	163.1	140.4	214.9	326.3	606	27.2	229.2	200.1
"1552261_at"	45.6	161.1	169.1	198.1	193.1	77.6	272.3	110.1	29.6	160.2
"1552263_at"	377.2	379.6	452.6	451.9	459.8	567.4	616.5	382.2	570	308.7
"1552264_a_at"	1692.7	3797	2084.5	1392.6	2628.7	1159.7	1378.8	2438.1	2054.7	2228.5
"1552266_at"	156.9	74.4	228.1	306.1	116.7	177.6	247.2	227.5	129.9	104.4
